Timestamp,Type,Data
2025-02-16 23:00:22.959785,Request,0x10 0x01
2025-02-16 23:00:23.010760,Response,0x50 0x01
2025-02-16 23:00:23.011926,Request,0x11 0x01
2025-02-16 23:00:23.063063,Response,0x51 0x01
2025-02-16 23:00:23.066633,Request,0x22 0xF1 0x90
2025-02-16 23:00:23.120259,Response,0x62 0xF1 0x90 0x12 0x34
